t,theta_1,theta_2,omega_1,omega_2,f_torque1,f_torque2,c_torque1,c_torque2,e_theta1,e_theta2
4.964820623397827,1.354509756961141,1.6827729662193558,-0.021959562,0.29723117,1.0527308,0.51853657,0,0,1.5183268247476676,1.8110871437821383
5.014686346054077,1.3537053475764136,1.6959918459190628,0.0043654605,0.27868563,0.96147895,0.5073166,0,0,1.506054978444583,1.8110871437821383
5.040616989135742,1.3533080975201468,1.7002948244346878,-0.052020296,0.3022107,0.92818487,0.5135155,0,0,1.496851093717269,1.8110871437821383
5.061561107635498,1.3530701706793646,1.7056120355858109,-0.031477638,0.19177611,0.89957726,0.52523136,0,0,1.4922491513536125,1.8110871437821383
5.080510139465332,1.3525954196837287,1.7111671884788773,-0.037750684,0.2758172,0.8454883,0.560689,0,0,1.4891811897778409,1.8110871437821383
5.100485801696777,1.3517431477692465,1.717758508516719,-0.07074478,0.29179868,0.80281585,0.5788517,0,0,1.4830452666262985,1.8095531629942525
5.117978572845459,1.350947187342916,1.725026460482051,-0.030124202,0.29009,0.7357019,0.5789137,0,0,1.4784433242626411,1.8095531629942525
5.140476226806641,1.3500195304539542,1.7309955080284378,-0.028889924,0.31464797,0.6850718,0.56812763,0,0,1.4723074011110988,1.8095531629942525
5.1684370040893555,1.3492828170445303,1.7356522997154495,-0.07323014,0.3531269,0.67160773,0.5584574,0,0,1.4631035163837849,1.8095531629942525
5.195420265197754,1.3474053303387503,1.7462094743980667,-0.035106298,0.324482,0.6548579,0.49715042,0,0,1.4554336124443568,1.8095531629942525
5.220411539077759,1.3463386605170111,1.7536061723961136,-0.074084945,0.3446583,0.592781,0.5029154,0,0,1.4508316700806994,1.8095531629942525
5.242381572723389,1.3456076691534857,1.7594269235862992,-0.03029172,0.2971716,0.51681864,0.5739546,0,0,1.4431617661412712,1.8095531629942525
5.260379076004028,1.344706610837255,1.764689775301387,-0.047250666,0.29644197,0.5009992,0.51866055,0,0,1.4385598237776147,1.8095531629942525
5.280391216278076,1.3436537841942648,1.7712028940452835,-0.052530635,0.36227682,0.4232876,0.56639194,0,0,1.4324239006260724,1.8095531629942525
5.299370288848877,1.3424330810692648,1.7775748689903519,-0.026845172,0.32665706,0.39887115,0.55188656,0,0,1.4262879774745292,1.8095531629942525
